1, 22, 42, Europe, February, 16, 1995, 40
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
2, 25, 55, Asia, January, 23, 1990, 10
